disease,fever,headache,cough,fatigue,nausea,vomiting,sore_throat,body_pain,stomach_pain,chest_pain,shortness_of_breath,dizziness,joint_pain,skin_rash,runny_nose,chills,abdominal_pain,loss_of_appetite,diarrhea,muscle_pain
Common Cold,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
Common Cold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Common Cold,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Common Cold,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0
Common Cold,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Common Cold,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Common Cold,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Common Cold,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Common Cold,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Common Cold,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Common Cold,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Common Cold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Cold,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
Common Cold,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Common Cold,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Common Cold,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Common Cold,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Common Cold,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Common Cold,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Common Cold,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Common Cold,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Common Cold,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Common Cold,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1
Common Cold,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Common Cold,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Common Cold,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Common Cold,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
Common Cold,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1
Common Cold,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Common Cold,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
Common Cold,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1
Common Cold,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
Common Cold,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Common Cold,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Common Cold,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Common Cold,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Common Cold,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Common Cold,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
Common Cold,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Common Cold,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Common Cold,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0
